País de residencia;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Alemania;Tasa de variación acumulada;Gasto medio diario por persona;2023M01;7,19
Alemania;Tasa de variación acumulada;Duración media de los viajes;2023M12;-4,75
Alemania;Tasa de variación acumulada;Duración media de los viajes;2023M11;-4,94
Alemania;Tasa de variación acumulada;Duración media de los viajes;2023M10;-4,59
Alemania;Tasa de variación acumulada;Duración media de los viajes;2023M09;-4,48
Alemania;Tasa de variación acumulada;Duración media de los viajes;2023M08;-5,02
Alemania;Tasa de variación acumulada;Duración media de los viajes;2023M07;-7,63
Alemania;Tasa de variación acumulada;Duración media de los viajes;2023M06;-7,53
Alemania;Tasa de variación acumulada;Duración media de los viajes;2023M05;-7,84
Alemania;Tasa de variación acumulada;Duración media de los viajes;2023M04;-7,80
Alemania;Tasa de variación acumulada;Duración media de los viajes;2023M03;-14,28
Alemania;Tasa de variación acumulada;Duración media de los viajes;2023M02;-13,80
Alemania;Tasa de variación acumulada;Duración media de los viajes;2023M01;-17,88
Francia;Dato base;Gasto total;2023M12;610,62
Francia;Dato base;Gasto total;2023M11;477,49
Francia;Dato base;Gasto total;2023M10;792,00
Francia;Dato base;Gasto total;2023M09;807,40
Francia;Dato base;Gasto total;2023M08;1.969,50
Francia;Dato base;Gasto total;2023M07;1.475,74
Francia;Dato base;Gasto total;2023M06;742,74
Francia;Dato base;Gasto total;2023M05;841,80
Francia;Dato base;Gasto total;2023M04;772,87
Francia;Dato base;Gasto total;2023M03;474,29
Francia;Dato base;Gasto total;2023M02;428,91
Francia;Dato base;Gasto total;2023M01;344,99
Francia;Dato base;Gasto medio por persona;2023M12;746
Francia;Dato base;Gasto medio por persona;2023M11;746
Francia;Dato base;Gasto medio por persona;2023M10;795
Francia;Dato base;Gasto medio por persona;2023M09;842
Francia;Dato base;Gasto medio por persona;2023M08;997
Francia;Dato base;Gasto medio por persona;2023M07;945
Francia;Dato base;Gasto medio por persona;2023M06;817
Francia;Dato base;Gasto medio por persona;2023M05;732
Francia;Dato base;Gasto medio por persona;2023M04;739
Francia;Dato base;Gasto medio por persona;2023M03;790
Francia;Dato base;Gasto medio por persona;2023M02;683
Francia;Dato base;Gasto medio por persona;2023M01;712
Francia;Dato base;Gasto medio diario por persona;2023M12;97
Francia;Dato base;Gasto medio diario por persona;2023M11;109
Francia;Dato base;Gasto medio diario por persona;2023M10;114
Francia;Dato base;Gasto medio diario por persona;2023M09;115
Francia;Dato base;Gasto medio diario por persona;2023M08;122
Francia;Dato base;Gasto medio diario por persona;2023M07;131
Francia;Dato base;Gasto medio diario por persona;2023M06;137
Francia;Dato base;Gasto medio diario por persona;2023M05;128
Francia;Dato base;Gasto medio diario por persona;2023M04;116
Francia;Dato base;Gasto medio diario por persona;2023M03;117
Francia;Dato base;Gasto medio diario por persona;2023M02;112
Francia;Dato base;Gasto medio diario por persona;2023M01;98
Francia;Dato base;Duración media de los viajes;2023M12;7,70
Francia;Dato base;Duración media de los viajes;2023M11;6,83
Francia;Dato base;Duración media de los viajes;2023M10;6,98
Francia;Dato base;Duración media de los viajes;2023M09;7,33
Francia;Dato base;Duración media de los viajes;2023M08;8,20
Francia;Dato base;Duración media de los viajes;2023M07;7,21
Francia;Dato base;Duración media de los viajes;2023M06;5,98
Francia;Dato base;Duración media de los viajes;2023M05;5,72
Francia;Dato base;Duración media de los viajes;2023M04;6,37
Francia;Dato base;Duración media de los viajes;2023M03;6,77
Francia;Dato base;Duración media de los viajes;2023M02;6,07
Francia;Dato base;Duración media de los viajes;2023M01;7,25
Francia;Tasa de variación anual;Gasto total;2023M12;17,35
Francia;Tasa de variación anual;Gasto total;2023M11;12,27
Francia;Tasa de variación anual;Gasto total;2023M10;14,32
Francia;Tasa de variación anual;Gasto total;2023M09;6,13
Francia;Tasa de variación anual;Gasto total;2023M08;21,51
Francia;Tasa de variación anual;Gasto total;2023M07;20,45
Francia;Tasa de variación anual;Gasto total;2023M06;16,32
Francia;Tasa de variación anual;Gasto total;2023M05;18,30
Francia;Tasa de variación anual;Gasto total;2023M04;30,67
Francia;Tasa de variación anual;Gasto total;2023M03;41,11
Francia;Tasa de variación anual;Gasto total;2023M02;11,76
Francia;Tasa de variación anual;Gasto total;2023M01;35,52
Francia;Tasa de variación anual;Gasto medio por persona;2023M12;-5,06
Francia;Tasa de variación anual;Gasto medio por persona;2023M11;3,37
Francia;Tasa de variación anual;Gasto medio por persona;2023M10;5,13
Francia;Tasa de variación anual;Gasto medio por persona;2023M09;1,38
Francia;Tasa de variación anual;Gasto medio por persona;2023M08;1,35
Francia;Tasa de variación anual;Gasto medio por persona;2023M07;9,57
Francia;Tasa de variación anual;Gasto medio por persona;2023M06;11,24
Francia;Tasa de variación anual;Gasto medio por persona;2023M05;-4,36
Francia;Tasa de variación anual;Gasto medio por persona;2023M04;3,29
Francia;Tasa de variación anual;Gasto medio por persona;2023M03;7,44
Francia;Tasa de variación anual;Gasto medio por persona;2023M02;-8,53
Francia;Tasa de variación anual;Gasto medio por persona;2023M01;-2,81
Francia;Tasa de variación anual;Gasto medio diario por persona;2023M12;-5,67
Francia;Tasa de variación anual;Gasto medio diario por persona;2023M11;-3,11
Francia;Tasa de variación anual;Gasto medio diario por persona;2023M10;3,12
Francia;Tasa de variación anual;Gasto medio diario por persona;2023M09;1,57
Francia;Tasa de variación anual;Gasto medio diario por persona;2023M08;1,67
Francia;Tasa de variación anual;Gasto medio diario por persona;2023M07;7,89
Francia;Tasa de variación anual;Gasto medio diario por persona;2023M06;5,20
Francia;Tasa de variación anual;Gasto medio diario por persona;2023M05;0,48
Francia;Tasa de variación anual;Gasto medio diario por persona;2023M04;-3,07
Francia;Tasa de variación anual;Gasto medio diario por persona;2023M03;6,55
Francia;Tasa de variación anual;Gasto medio diario por persona;2023M02;2,16
Francia;Tasa de variación anual;Gasto medio diario por persona;2023M01;11,77
Francia;Tasa de variación anual;Duración media de los viajes;2023M12;0,64
Francia;Tasa de variación anual;Duración media de los viajes;2023M11;6,70
Francia;Tasa de variación anual;Duración media de los viajes;2023M10;1,95
Francia;Tasa de variación anual;Duración media de los viajes;2023M09;-0,19
Francia;Tasa de variación anual;Duración media de los viajes;2023M08;-0,31
Francia;Tasa de variación anual;Duración media de los viajes;2023M07;1,56
Francia;Tasa de variación anual;Duración media de los viajes;2023M06;5,74
Francia;Tasa de variación anual;Duración media de los viajes;2023M05;-4,82
Francia;Tasa de variación anual;Duración media de los viajes;2023M04;6,56
Francia;Tasa de variación anual;Duración media de los viajes;2023M03;0,84
Francia;Tasa de variación anual;Duración media de los viajes;2023M02;-10,47
Francia;Tasa de variación anual;Duración media de los viajes;2023M01;-13,05
Francia;Acumulado en lo que va de año;Gasto total;2023M12;9.738,37
Francia;Acumulado en lo que va de año;Gasto total;2023M11;9.127,75
Francia;Acumulado en lo que va de año;Gasto total;2023M10;8.650,26
Francia;Acumulado en lo que va de año;Gasto total;2023M09;7.858,25
Francia;Acumulado en lo que va de año;Gasto total;2023M08;7.050,85
Francia;Acumulado en lo que va de año;Gasto total;2023M07;5.081,35
Francia;Acumulado en lo que va de año;Gasto total;2023M06;3.605,61
Francia;Acumulado en lo que va de año;Gasto total;2023M05;2.862,87
Francia;Acumulado en lo que va de año;Gasto total;2023M04;2.021,07
Francia;Acumulado en lo que va de año;Gasto total;2023M03;1.248,19
Francia;Acumulado en lo que va de año;Gasto total;2023M02;773,91
Francia;Acumulado en lo que va de año;Gasto total;2023M01;344,99
Francia;Acumulado en lo que va de año;Gasto medio por persona;2023M12;828
Francia;Acumulado en lo que va de año;Gasto medio por persona;2023M11;834
Francia;Acumulado en lo que va de año;Gasto medio por persona;2023M10;839
Francia;Acumulado en lo que va de año;Gasto medio por persona;2023M09;844
Francia;Acumulado en lo que va de año;Gasto medio por persona;2023M08;844
Francia;Acumulado en lo que va de año;Gasto medio por persona;2023M07;796
Francia;Acumulado en lo que va de año;Gasto medio por persona;2023M06;748
Francia;Acumulado en lo que va de año;Gasto medio por persona;2023M05;732
Francia;Acumulado en lo que va de año;Gasto medio por persona;2023M04;732
Francia;Acumulado en lo que va de año;Gasto medio por persona;2023M03;729
Francia;Acumulado en lo que va de año;Gasto medio por persona;2023M02;696
Francia;Acumulado en lo que va de año;Gasto medio por persona;2023M01;712
Francia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M12;118
Francia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M11;120
Francia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M10;121
Francia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M09;122
Francia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M08;123
Francia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M07;123
Francia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M06;120
Francia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M05;116
Francia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M04;112
Francia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M03;110
Francia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M02;106
Francia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M01;98
Francia;Acumulado en lo que va de año;Duración media de los viajes;2023M12;6,98
Francia;Acumulado en lo que va de año;Duración media de los viajes;2023M11;6,93
Francia;Acumulado en lo que va de año;Duración media de los viajes;2023M10;6,94
Francia;Acumulado en lo que va de año;Duración media de los viajes;2023M09;6,93
Francia;Acumulado en lo que va de año;Duración media de los viajes;2023M08;6,89
Francia;Acumulado en lo que va de año;Duración media de los viajes;2023M07;6,48
Francia;Acumulado en lo que va de año;Duración media de los viajes;2023M06;6,24
Francia;Acumulado en lo que va de año;Duración media de los viajes;2023M05;6,30
Francia;Acumulado en lo que va de año;Duración media de los viajes;2023M04;6,54
Francia;Acumulado en lo que va de año;Duración media de los viajes;2023M03;6,65
Francia;Acumulado en lo que va de año;Duración media de los viajes;2023M02;6,58
Francia;Acumulado en lo que va de año;Duración media de los viajes;2023M01;7,25
Francia;Tasa de variación acumulada;Gasto total;2023M12;19,32
Francia;Tasa de variación acumulada;Gasto total;2023M11;19,46
Francia;Tasa de variación acumulada;Gasto total;2023M10;19,88
Francia;Tasa de variación acumulada;Gasto total;2023M09;20,47
Francia;Tasa de variación acumulada;Gasto total;2023M08;22,37
Francia;Tasa de variación acumulada;Gasto total;2023M07;22,70
Francia;Tasa de variación acumulada;Gasto total;2023M06;23,65
Francia;Tasa de variación acumulada;Gasto total;2023M05;25,70
Francia;Tasa de variación acumulada;Gasto total;2023M04;29,06
Francia;Tasa de variación acumulada;Gasto total;2023M03;28,09
Francia;Tasa de variación acumulada;Gasto total;2023M02;21,23
Francia;Tasa de variación acumulada;Gasto total;2023M01;35,52
Francia;Tasa de variación acumulada;Gasto medio por persona;2023M12;2,37
Francia;Tasa de variación acumulada;Gasto medio por persona;2023M11;2,92
Francia;Tasa de variación acumulada;Gasto medio por persona;2023M10;2,84
Francia;Tasa de variación acumulada;Gasto medio por persona;2023M09;2,56
Francia;Tasa de variación acumulada;Gasto medio por persona;2023M08;2,71
Francia;Tasa de variación acumulada;Gasto medio por persona;2023M07;3,19
Francia;Tasa de variación acumulada;Gasto medio por persona;2023M06;1,23
Francia;Tasa de variación acumulada;Gasto medio por persona;2023M05;-1,11
Francia;Tasa de variación acumulada;Gasto medio por persona;2023M04;0,37
Francia;Tasa de variación acumulada;Gasto medio por persona;2023M03;-1,39
Francia;Tasa de variación acumulada;Gasto medio por persona;2023M02;-6,12
Francia;Tasa de variación acumulada;Gasto medio por persona;2023M01;-2,81
Francia;Tasa de variación acumulada;Gasto medio diario por persona;2023M12;2,18
Francia;Tasa de variación acumulada;Gasto medio diario por persona;2023M11;2,82
Francia;Tasa de variación acumulada;Gasto medio diario por persona;2023M10;3,16
Francia;Tasa de variación acumulada;Gasto medio diario por persona;2023M09;3,13
Francia;Tasa de variación acumulada;Gasto medio diario por persona;2023M08;3,25
Francia;Tasa de variación acumulada;Gasto medio diario por persona;2023M07;3,87
Francia;Tasa de variación acumulada;Gasto medio diario por persona;2023M06;2,39
Francia;Tasa de variación acumulada;Gasto medio diario por persona;2023M05;1,97
Francia;Tasa de variación acumulada;Gasto medio diario por persona;2023M04;2,91
Francia;Tasa de variación acumulada;Gasto medio diario por persona;2023M03;6,29
Francia;Tasa de variación acumulada;Gasto medio diario por persona;2023M02;5,63
Francia;Tasa de variación acumulada;Gasto medio diario por persona;2023M01;11,77
Francia;Tasa de variación acumulada;Duración media de los viajes;2023M12;0,18
Francia;Tasa de variación acumulada;Duración media de los viajes;2023M11;0,10
Francia;Tasa de variación acumulada;Duración media de los viajes;2023M10;-0,31
Francia;Tasa de variación acumulada;Duración media de los viajes;2023M09;-0,56
Francia;Tasa de variación acumulada;Duración media de los viajes;2023M08;-0,52
Francia;Tasa de variación acumulada;Duración media de los viajes;2023M07;-0,65
Francia;Tasa de variación acumulada;Duración media de los viajes;2023M06;-1,13
Francia;Tasa de variación acumulada;Duración media de los viajes;2023M05;-3,02
Francia;Tasa de variación acumulada;Duración media de los viajes;2023M04;-2,47
Francia;Tasa de variación acumulada;Duración media de los viajes;2023M03;-7,23
Francia;Tasa de variación acumulada;Duración media de los viajes;2023M02;-11,13
Francia;Tasa de variación acumulada;Duración media de los viajes;2023M01;-13,05
Italia;Dato base;Gasto total;2023M12;370,57
Italia;Dato base;Gasto total;2023M11;274,91
Italia;Dato base;Gasto total;2023M10;346,40
Italia;Dato base;Gasto total;2023M09;375,98
Italia;Dato base;Gasto total;2023M08;798,46
Italia;Dato base;Gasto total;2023M07;508,40
Italia;Dato base;Gasto total;2023M06;348,22
Italia;Dato base;Gasto total;2023M05;312,72
Italia;Dato base;Gasto total;2023M04;304,41
Italia;Dato base;Gasto total;2023M03;249,13
Italia;Dato base;Gasto total;2023M02;200,00
Italia;Dato base;Gasto total;2023M01;217,09
Italia;Dato base;Gasto medio por persona;2023M12;1.049
Italia;Dato base;Gasto medio por persona;2023M11;909
Italia;Dato base;Gasto medio por persona;2023M10;857
Italia;Dato base;Gasto medio por persona;2023M09;872
Italia;Dato base;Gasto medio por persona;2023M08;1.076
Italia;Dato base;Gasto medio por persona;2023M07;935
Italia;Dato base;Gasto medio por persona;2023M06;813
Italia;Dato base;Gasto medio por persona;2023M05;741
Italia;Dato base;Gasto medio por persona;2023M04;786
Italia;Dato base;Gasto medio por persona;2023M03;789
Italia;Dato base;Gasto medio por persona;2023M02;838
Italia;Dato base;Gasto medio por persona;2023M01;773
Italia;Dato base;Gasto medio diario por persona;2023M12;108
Italia;Dato base;Gasto medio diario por persona;2023M11;135
Italia;Dato base;Gasto medio diario por persona;2023M10;142
Italia;Dato base;Gasto medio diario por persona;2023M09;169
Italia;Dato base;Gasto medio diario por persona;2023M08;162
Italia;Dato base;Gasto medio diario por persona;2023M07;152
Italia;Dato base;Gasto medio diario por persona;2023M06;147
Italia;Dato base;Gasto medio diario por persona;2023M05;153
Italia;Dato base;Gasto medio diario por persona;2023M04;149
Italia;Dato base;Gasto medio diario por persona;2023M03;142
Italia;Dato base;Gasto medio diario por persona;2023M02;121
Italia;Dato base;Gasto medio diario por persona;2023M01;130
Italia;Dato base;Duración media de los viajes;2023M12;9,71
Italia;Dato base;Duración media de los viajes;2023M11;6,75
Italia;Dato base;Duración media de los viajes;2023M10;6,02
Italia;Dato base;Duración media de los viajes;2023M09;5,15
Italia;Dato base;Duración media de los viajes;2023M08;6,64
Italia;Dato base;Duración media de los viajes;2023M07;6,17
Italia;Dato base;Duración media de los viajes;2023M06;5,52
Italia;Dato base;Duración media de los viajes;2023M05;4,84
Italia;Dato base;Duración media de los viajes;2023M04;5,28
Italia;Dato base;Duración media de los viajes;2023M03;5,56
Italia;Dato base;Duración media de los viajes;2023M02;6,90
Italia;Dato base;Duración media de los viajes;2023M01;5,92
Italia;Tasa de variación anual;Gasto total;2023M12;40,54
Italia;Tasa de variación anual;Gasto total;2023M11;27,58
Italia;Tasa de variación anual;Gasto total;2023M10;23,35
Italia;Tasa de variación anual;Gasto total;2023M09;7,11
Italia;Tasa de variación anual;Gasto total;2023M08;21,12
Italia;Tasa de variación anual;Gasto total;2023M07;11,26
Italia;Tasa de variación anual;Gasto total;2023M06;8,85
Italia;Tasa de variación anual;Gasto total;2023M05;20,00
Italia;Tasa de variación anual;Gasto total;2023M04;14,61
Italia;Tasa de variación anual;Gasto total;2023M03;24,77
Italia;Tasa de variación anual;Gasto total;2023M02;44,35
Italia;Tasa de variación anual;Gasto total;2023M01;65,92
Italia;Tasa de variación anual;Gasto medio por persona;2023M12;2,38
Italia;Tasa de variación anual;Gasto medio por persona;2023M11;11,57
Italia;Tasa de variación anual;Gasto medio por persona;2023M10;8,81
Italia;Tasa de variación anual;Gasto medio por persona;2023M09;-0,23
Italia;Tasa de variación anual;Gasto medio por persona;2023M08;4,55
Italia;Tasa de variación anual;Gasto medio por persona;2023M07;-3,51
Italia;Tasa de variación anual;Gasto medio por persona;2023M06;2,57
Italia;Tasa de variación anual;Gasto medio por persona;2023M05;1,71
Italia;Tasa de variación anual;Gasto medio por persona;2023M04;-11,76
Italia;Tasa de variación anual;Gasto medio por persona;2023M03;-6,80
Italia;Tasa de variación anual;Gasto medio por persona;2023M02;0,92
Italia;Tasa de variación anual;Gasto medio por persona;2023M01;-7,33
Italia;Tasa de variación anual;Gasto medio diario por persona;2023M12;0,17
Italia;Tasa de variación anual;Gasto medio diario por persona;2023M11;-6,15
Italia;Tasa de variación anual;Gasto medio diario por persona;2023M10;0,12
Italia;Tasa de variación anual;Gasto medio diario por persona;2023M09;22,75
Italia;Tasa de variación anual;Gasto medio diario por persona;2023M08;9,16
Italia;Tasa de variación anual;Gasto medio diario por persona;2023M07;2,97
Italia;Tasa de variación anual;Gasto medio diario por persona;2023M06;0,37
Italia;Tasa de variación anual;Gasto medio diario por persona;2023M05;2,11
Italia;Tasa de variación anual;Gasto medio diario por persona;2023M04;13,71
Italia;Tasa de variación anual;Gasto medio diario por persona;2023M03;6,46
Italia;Tasa de variación anual;Gasto medio diario por persona;2023M02;15,85
Italia;Tasa de variación anual;Gasto medio diario por persona;2023M01;21,23
Italia;Tasa de variación anual;Duración media de los viajes;2023M12;2,20
Italia;Tasa de variación anual;Duración media de los viajes;2023M11;18,88
Italia;Tasa de variación anual;Duración media de los viajes;2023M10;8,67
Italia;Tasa de variación anual;Duración media de los viajes;2023M09;-18,72
Italia;Tasa de variación anual;Duración media de los viajes;2023M08;-4,23
Italia;Tasa de variación anual;Duración media de los viajes;2023M07;-6,29
Italia;Tasa de variación anual;Duración media de los viajes;2023M06;2,19
Italia;Tasa de variación anual;Duración media de los viajes;2023M05;-0,39
Italia;Tasa de variación anual;Duración media de los viajes;2023M04;-22,40
Italia;Tasa de variación anual;Duración media de los viajes;2023M03;-12,45
Italia;Tasa de variación anual;Duración media de los viajes;2023M02;-12,89
Italia;Tasa de variación anual;Duración media de los viajes;2023M01;-23,56
Italia;Acumulado en lo que va de año;Gasto total;2023M12;4.306,30
Italia;Acumulado en lo que va de año;Gasto total;2023M11;3.935,72
Italia;Acumulado en lo que va de año;Gasto total;2023M10;3.660,81
Italia;Acumulado en lo que va de año;Gasto total;2023M09;3.314,41
Italia;Acumulado en lo que va de año;Gasto total;2023M08;2.938,43
Italia;Acumulado en lo que va de año;Gasto total;2023M07;2.139,97
Italia;Acumulado en lo que va de año;Gasto total;2023M06;1.631,57
Italia;Acumulado en lo que va de año;Gasto total;2023M05;1.283,35
Italia;Acumulado en lo que va de año;Gasto total;2023M04;970,63
Italia;Acumulado en lo que va de año;Gasto total;2023M03;666,22
Italia;Acumulado en lo que va de año;Gasto total;2023M02;417,09
Italia;Acumulado en lo que va de año;Gasto total;2023M01;217,09
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023M12;888
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023M11;875
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023M10;873
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023M09;875
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023M08;875
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023M07;818
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023M06;787
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023M05;780
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023M04;794
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023M03;798
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023M02;803
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023M01;773
Italia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M12;144
Italia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M11;149
Italia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M10;150
Italia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M09;150
Italia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M08;148
Italia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M07;144
Italia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M06;142
Italia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M05;140
Italia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M04;137
Italia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M03;132
Italia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M02;126
Italia;Acumulado en lo que va de año;Gasto medio diario por persona;2023M01;130
Italia;Acumulado en lo que va de año;Duración media de los viajes;2023M12;6,17
Italia;Acumulado en lo que va de año;Duración media de los viajes;2023M11;5,89
Italia;Acumulado en lo que va de año;Duración media de los viajes;2023M10;5,83
Italia;Acumulado en lo que va de año;Duración media de los viajes;2023M09;5,81
Italia;Acumulado en lo que va de año;Duración media de los viajes;2023M08;5,90
Italia;Acumulado en lo que va de año;Duración media de los viajes;2023M07;5,68
Italia;Acumulado en lo que va de año;Duración media de los viajes;2023M06;5,56
Italia;Acumulado en lo que va de año;Duración media de los viajes;2023M05;5,57
Italia;Acumulado en lo que va de año;Duración media de los viajes;2023M04;5,82
Italia;Acumulado en lo que va de año;Duración media de los viajes;2023M03;6,07
Italia;Acumulado en lo que va de año;Duración media de los viajes;2023M02;6,37
Italia;Acumulado en lo que va de año;Duración media de los viajes;2023M01;5,92
Italia;Tasa de variación acumulada;Gasto total;2023M12;21,57
Italia;Tasa de variación acumulada;Gasto total;2023M11;20,04
Italia;Tasa de variación acumulada;Gasto total;2023M10;19,51
Italia;Tasa de variación acumulada;Gasto total;2023M09;19,12
Italia;Tasa de variación acumulada;Gasto total;2023M08;20,86
Italia;Tasa de variación acumulada;Gasto total;2023M07;20,76
Italia;Tasa de variación acumulada;Gasto total;2023M06;24,06
Italia;Tasa de variación acumulada;Gasto total;2023M05;28,95
Italia;Tasa de variación acumulada;Gasto total;2023M04;32,12
Italia;Tasa de variación acumulada;Gasto total;2023M03;42,03
Italia;Tasa de variación acumulada;Gasto total;2023M02;54,83
Italia;Tasa de variación acumulada;Gasto total;2023M01;65,92
Italia;Tasa de variación acumulada;Gasto medio por persona;2023M12;0,54
Italia;Tasa de variación acumulada;Gasto medio por persona;2023M11;0,21
Italia;Tasa de variación acumulada;Gasto medio por persona;2023M10;-0,57
Italia;Tasa de variación acumulada;Gasto medio por persona;2023M09;-1,53
Italia;Tasa de variación acumulada;Gasto medio por persona;2023M08;-1,73
Italia;Tasa de variación acumulada;Gasto medio por persona;2023M07;-3,52
Italia;Tasa de variación acumulada;Gasto medio por persona;2023M06;-3,10
Italia;Tasa de variación acumulada;Gasto medio por persona;2023M05;-4,70
Italia;Tasa de variación acumulada;Gasto medio por persona;2023M04;-7,31
Italia;Tasa de variación acumulada;Gasto medio por persona;2023M03;-4,85
Italia;Tasa de variación acumulada;Gasto medio por persona;2023M02;-3,53
Italia;Tasa de variación acumulada;Gasto medio por persona;2023M01;-7,33
Italia;Tasa de variación acumulada;Gasto medio diario por persona;2023M12;5,60
Italia;Tasa de variación acumulada;Gasto medio diario por persona;2023M11;6,69
Italia;Tasa de variación acumulada;Gasto medio diario por persona;2023M10;7,75
Italia;Tasa de variación acumulada;Gasto medio diario por persona;2023M09;8,58
Italia;Tasa de variación acumulada;Gasto medio diario por persona;2023M08;6,99
Italia;Tasa de variación acumulada;Gasto medio diario por persona;2023M07;6,26
Italia;Tasa de variación acumulada;Gasto medio diario por persona;2023M06;7,52
Italia;Tasa de variación acumulada;Gasto medio diario por persona;2023M05;9,90
Italia;Tasa de variación acumulada;Gasto medio diario por persona;2023M04;12,66
Italia;Tasa de variación acumulada;Gasto medio diario por persona;2023M03;13,13
Italia;Tasa de variación acumulada;Gasto medio diario por persona;2023M02;18,66
Italia;Tasa de variación acumulada;Gasto medio diario por persona;2023M01;21,23
Italia;Tasa de variación acumulada;Duración media de los viajes;2023M12;-4,78
Italia;Tasa de variación acumulada;Duración media de los viajes;2023M11;-6,07
Italia;Tasa de variación acumulada;Duración media de los viajes;2023M10;-7,72
Italia;Tasa de variación acumulada;Duración media de los viajes;2023M09;-9,32
Italia;Tasa de variación acumulada;Duración media de los viajes;2023M08;-8,14
Italia;Tasa de variación acumulada;Duración media de los viajes;2023M07;-9,20
Italia;Tasa de variación acumulada;Duración media de los viajes;2023M06;-9,88
Italia;Tasa de variación acumulada;Duración media de los viajes;2023M05;-13,29
Italia;Tasa de variación acumulada;Duración media de los viajes;2023M04;-17,73
Italia;Tasa de variación acumulada;Duración media de los viajes;2023M03;-15,89
Italia;Tasa de variación acumulada;Duración media de los viajes;2023M02;-18,70
Italia;Tasa de variación acumulada;Duración media de los viajes;2023M01;-23,56
